time,open,high,low,close,volume
2025-09-01 00:00:00,23.78,23.82,23.75,23.82,1936.82
2025-09-01 00:15:00,23.83,23.85,23.8,23.84,887.49
2025-09-01 00:30:00,23.82,23.92,23.82,23.91,1556.24
2025-09-01 00:45:00,23.92,23.94,23.89,23.89,353.64
2025-09-01 01:00:00,23.87,23.88,23.79,23.83,2707.08
2025-09-01 01:15:00,23.83,23.94,23.83,23.92,942.16
2025-09-01 01:30:00,23.9,23.9,23.71,23.72,4595.13
2025-09-01 01:45:00,23.72,23.73,23.67,23.7,2756.23
2025-09-01 02:00:00,23.69,23.7,23.6,23.66,5668.63
2025-09-01 02:15:00,23.65,23.65,23.54,23.57,9029.13
2025-09-01 02:30:00,23.55,23.56,23.44,23.45,7722.3
2025-09-01 02:45:00,23.44,23.46,23.39,23.4,6107.49
2025-09-01 03:00:00,23.39,23.4,23.26,23.32,9060.02
2025-09-01 03:15:00,23.32,23.38,23.23,23.28,12583.61
2025-09-01 03:30:00,23.28,23.44,23.21,23.39,9707.66
2025-09-01 03:45:00,23.39,23.48,23.35,23.39,3981.05
2025-09-01 04:00:00,23.38,23.42,23.27,23.32,2437.61
2025-09-01 04:15:00,23.32,23.39,23.25,23.39,5618.77
2025-09-01 04:30:00,23.38,23.48,23.38,23.47,4634.84
2025-09-01 04:45:00,23.47,23.51,23.35,23.41,2731.2
2025-09-01 05:00:00,23.41,23.44,23.29,23.31,2675.57
2025-09-01 05:15:00,23.31,23.33,23.14,23.24,3745.4
2025-09-01 05:30:00,23.23,23.24,23.15,23.2,3325.81
2025-09-01 05:45:00,23.18,23.2,23.07,23.11,6859.94
2025-09-01 06:00:00,23.09,23.19,23.06,23.1,7418.33
2025-09-01 06:15:00,23.08,23.14,23.07,23.12,2248.85
2025-09-01 06:30:00,23.12,23.19,23.08,23.14,2037.22
2025-09-01 06:45:00,23.14,23.22,23.1,23.17,2080.96
2025-09-01 07:00:00,23.16,23.21,23.1,23.18,2762.39
2025-09-01 07:15:00,23.18,23.18,23.06,23.08,3860.47
2025-09-01 07:30:00,23.08,23.09,22.97,22.98,7273.24
2025-09-01 07:45:00,22.98,23.03,22.93,23.01,13985.3
2025-09-01 08:00:00,23.02,23.05,22.9,22.93,10557.8
2025-09-01 08:15:00,22.93,23.03,22.87,23.0,7115.12
2025-09-01 08:30:00,23.01,23.12,22.98,23.1,4214.64
2025-09-01 08:45:00,23.1,23.11,23.03,23.04,2167.02
2025-09-01 09:00:00,23.03,23.04,22.9,22.95,1761.66
2025-09-01 09:15:00,22.92,23.09,22.91,23.05,2581.91
2025-09-01 09:30:00,23.06,23.13,23.04,23.12,2078.99
2025-09-01 09:45:00,23.12,23.13,23.07,23.1,1668.23
2025-09-01 10:00:00,23.1,23.16,23.0,23.0,3400.46
2025-09-01 10:15:00,23.0,23.36,22.99,23.36,4173.31
2025-09-01 10:30:00,23.35,23.52,23.32,23.47,4064.37
2025-09-01 10:45:00,23.48,23.81,23.48,23.79,16053.3
2025-09-01 11:00:00,23.8,23.96,23.8,23.91,17373.3
2025-09-01 11:15:00,23.92,24.01,23.89,23.9,20558.43
2025-09-01 11:30:00,23.91,24.02,23.9,24.02,8112.68
2025-09-01 11:45:00,24.02,24.13,24.0,24.12,10894.5
2025-09-01 12:00:00,24.13,24.25,24.13,24.25,23532.39
2025-09-01 12:15:00,24.26,24.3,24.2,24.24,9844.89
2025-09-01 12:30:00,24.25,24.34,24.19,24.23,13871.5
2025-09-01 12:45:00,24.24,24.25,24.08,24.13,8951.1
2025-09-01 13:00:00,24.15,24.2,24.1,24.19,4016.62
2025-09-01 13:15:00,24.19,24.19,23.98,23.99,2833.68
2025-09-01 13:30:00,24.0,24.0,23.88,23.95,8457.78
2025-09-01 13:45:00,23.92,24.0,23.88,23.98,3401.55
2025-09-01 14:00:00,23.98,24.01,23.94,23.94,1404.79
2025-09-01 14:15:00,23.95,23.98,23.87,23.89,4764.45
2025-09-01 14:30:00,23.88,23.88,23.69,23.69,9641.89
2025-09-01 14:45:00,23.69,23.8,23.69,23.76,7154.33
2025-09-01 15:00:00,23.75,23.85,23.71,23.84,1909.63
