time,open,high,low,close,volume
2025-09-01 01:00:00,23.72,23.74,23.19,23.2,470625.3
2025-09-01 03:00:00,23.2,23.37,22.97,23.27,596190.45
2025-09-01 05:00:00,23.28,23.3,22.93,23.06,385174.04
2025-09-01 07:00:00,23.05,23.12,22.71,22.86,328429.14
2025-09-01 09:00:00,22.85,23.64,22.78,23.59,743354.99
2025-09-01 11:00:00,23.6,23.86,23.51,23.6,852263.61
2025-09-01 13:00:00,23.61,23.66,23.16,23.22,390705.16
2025-09-01 15:00:00,23.22,23.35,22.94,22.98,366505.33
2025-09-01 17:00:00,22.98,23.14,22.73,22.8,328136.15
2025-09-01 19:00:00,22.8,22.85,22.54,22.58,406425.49
2025-09-01 21:00:00,22.58,22.84,22.58,22.83,311086.69
2025-09-01 23:00:00,22.83,22.84,22.06,22.27,791404.32
2025-09-02 01:00:00,22.26,22.55,22.17,22.52,304453.84
2025-09-02 03:00:00,22.52,22.79,22.35,22.69,329086.57
2025-09-02 05:00:00,22.69,23.23,22.68,23.14,371782.73
2025-09-02 07:00:00,23.14,23.36,23.08,23.34,259911.02
2025-09-02 09:00:00,23.34,23.53,23.17,23.23,274619.99
2025-09-02 11:00:00,23.23,23.45,23.21,23.41,166123.28
2025-09-02 13:00:00,23.42,23.42,23.07,23.11,221215.8
2025-09-02 15:00:00,23.1,23.45,22.64,23.4,989003.18
2025-09-02 17:00:00,23.4,23.54,22.8,22.85,814400.83
2025-09-02 19:00:00,22.86,23.16,22.81,23.06,385286.31
2025-09-02 21:00:00,23.05,23.14,22.79,23.06,390706.76
2025-09-02 23:00:00,23.06,23.52,23.01,23.46,307077.95
2025-09-03 01:00:00,23.46,23.6,23.4,23.49,351777.76
2025-09-03 03:00:00,23.49,23.54,23.21,23.53,170152.32
2025-09-03 05:00:00,23.52,23.62,23.32,23.42,313833.19
2025-09-03 07:00:00,23.42,23.5,23.28,23.31,153938.13
2025-09-03 09:00:00,23.31,23.45,23.22,23.28,240347.79
2025-09-03 11:00:00,23.28,23.46,23.23,23.46,203196.92
